word_id,surah_name,verse_number,word_position,text_arabic,current_translation,previous_word_arabic,previous_word_translation,previous_word_id,next_word_arabic,next_word_translation,suggested_fix,confidence,reason
3455,The Defrauding (المطففين),2,6,يَسۡتَوۡفُونَ,they take in full,ٱلنَّاسِ,the people,3454,,,They take in full,MEDIUM,Previous word exists but is not a known preposition
3457,The Defrauding (المطففين),3,2,كَالُوهُمۡ,they give by measure (to) them,وَإِذَا,But when,3456,أَو,or,They give by measure (to) them,MEDIUM,Previous word exists but is not a known preposition
3464,The Defrauding (المطففين),4,4,أَنَّهُم,that they,أُوْلَـٰٓئِكَ,those,3463,مَّبۡعُوثُونَ,(will be) resurrected,That they,MEDIUM,Previous word exists but is not a known preposition
3466,The Defrauding (المطففين),5,1,لِيَوۡمٍ,For a Day,,,,عَظِيمٖ,Great,A Day,LOW,No previous word in verse
3486,The Defrauding (المطففين),10,2,يَوۡمَئِذٖ,that Day,وَيۡلٞ,Woe,3485,لِّلۡمُكَذِّبِينَ,to the deniers,That Day,MEDIUM,Previous word exists but is not a known preposition
3487,The Defrauding (المطففين),10,3,لِّلۡمُكَذِّبِينَ,to the deniers,يَوۡمَئِذٖ,that Day,3486,,,Deniers,MEDIUM,Previous word exists but is not a known preposition
3501,The Defrauding (المطففين),13,3,عَلَيۡهِ,to him,تُتۡلَىٰ,are recited,3500,ءَايَٰتُنَا,Our Verses,Him,MEDIUM,Previous word exists but is not a known preposition
3508,The Defrauding (المطففين),14,3,رَانَ,(the) stain has covered,بَلۡۜ,But,3507,عَلَىٰ,[over],(the) stain has covered,MEDIUM,Previous word exists but is not a known preposition
3518,The Defrauding (المطففين),15,5,يَوۡمَئِذٖ,that Day,رَّبِّهِمۡ,their Lord,3517,لَّمَحۡجُوبُونَ,surely will be partitioned,That Day,MEDIUM,Previous word exists but is not a known preposition
3557,The Defrauding (المطففين),25,1,يُسۡقَوۡنَ,They will be given to drink,,,,مِن,of,They will be given to drink,LOW,No previous word in verse
3572,The Defrauding (المطففين),28,3,بِهَا,from it,يَشۡرَبُ,will drink,3571,ٱلۡمُقَرَّبُونَ,those brought near,It,MEDIUM,Previous word exists but is not a known preposition
3584,The Defrauding (المطففين),30,3,بِهِمۡ,by them,مَرُّواْ,they passed,3583,يَتَغَامَزُونَ,they winked at one another,M,MEDIUM,Previous word exists but is not a known preposition
3585,The Defrauding (المطففين),30,4,يَتَغَامَزُونَ,they winked at one another,بِهِمۡ,by them,3584,,,They winked at one another,MEDIUM,Previous word exists but is not a known preposition
3621,The Splitting Open (الانشقاق),2,2,لِرَبِّهَا,to its Lord,وَأَذِنَتۡ,And has listened,3620,وَحُقَّتۡ,and was obligated,Its Lord,MEDIUM,Previous word exists but is not a known preposition
3628,The Splitting Open (الانشقاق),4,3,فِيهَا,(is) in it,مَا,what,3627,وَتَخَلَّتۡ,and becomes empty,(is) in it,MEDIUM,Previous word exists but is not a known preposition
3631,The Splitting Open (الانشقاق),5,2,لِرَبِّهَا,to its Lord,وَأَذِنَتۡ,And has listened,3630,وَحُقَّتۡ,and was obligated,Its Lord,MEDIUM,Previous word exists but is not a known preposition
3645,The Splitting Open (الانشقاق),7,5,بِيَمِينِهِۦ,in his right (hand),كِتَٰبَهُۥ,his record,3644,,,His right (hand),MEDIUM,Previous word exists but is not a known preposition
3683,The Splitting Open (الانشقاق),16,3,بِٱلشَّفَقِ,by the twilight glow,أُقۡسِمُ,I swear,3682,,,Twilight glow,MEDIUM,Previous word exists but is not a known preposition
3695,The Splitting Open (الانشقاق),20,2,لَهُمۡ,(is) for them,فَمَا,So what,3694,لَا,not,(is) for them,MEDIUM,Previous word exists but is not a known preposition
3700,The Splitting Open (الانشقاق),21,3,عَلَيۡهِمُ,to them,قُرِئَ,is recited,3699,ٱلۡقُرۡءَانُ,the Quran,M,MEDIUM,Previous word exists but is not a known preposition
3711,The Splitting Open (الانشقاق),23,4,يُوعُونَ,they keep within themselves,بِمَا,of what,3710,,,They keep within themselves,MEDIUM,Previous word exists but is not a known preposition
3720,The Splitting Open (الانشقاق),25,6,لَهُمۡ,For them,ٱلصَّـٰلِحَٰتِ,righteous deeds,3719,أَجۡرٌ,(is) a reward,M,MEDIUM,Previous word exists but is not a known preposition
3724,The Constellations (البروج),1,1,وَٱلسَّمَآءِ,By the sky,,,,ذَاتِ,containing,Sky,LOW,No previous word in verse
3730,The Constellations (البروج),3,2,وَمَشۡهُودٖ,and what is witnessed,وَشَاهِدٖ,And (the) witness,3729,,,And what is witnessed,MEDIUM,Previous word exists but is not a known preposition
3739,The Constellations (البروج),6,3,عَلَيۡهَا,by it,هُمۡ,they,3738,قُعُودٞ,(were) sitting,It,MEDIUM,Previous word exists but is not a known preposition
3745,The Constellations (البروج),7,5,بِٱلۡمُؤۡمِنِينَ,to the believers,يَفۡعَلُونَ,they were doing,3744,شُهُودٞ,witnesses,Believers,MEDIUM,Previous word exists but is not a known preposition
3753,The Constellations (البروج),8,7,بِٱللَّهِ,in Allah,يُؤۡمِنُواْ,they believed,3752,ٱلۡعَزِيزِ,the All-Mighty,Allah,MEDIUM,Previous word exists but is not a known preposition
3757,The Constellations (البروج),9,2,لَهُۥ,for Him,ٱلَّذِي,The One Who,3756,مُلۡكُ,(is) the dominion,Him,MEDIUM,Previous word exists but is not a known preposition
3774,The Constellations (البروج),10,9,فَلَهُمۡ,then for them,يَتُوبُواْ,they repented,3773,عَذَابُ,(is the) punishment,Then for them,MEDIUM,Previous word exists but is not a known preposition
3777,The Constellations (البروج),10,12,وَلَهُمۡ,and for them,جَهَنَّمَ,(of) Hell,3776,عَذَابُ,(is the) punishment,And for them,MEDIUM,Previous word exists but is not a known preposition
3785,The Constellations (البروج),11,6,لَهُمۡ,for them,ٱلصَّـٰلِحَٰتِ,the righteous deeds,3784,جَنَّـٰتٞ,(will be) Gardens,M,MEDIUM,Previous word exists but is not a known preposition
3812,The Constellations (البروج),17,2,أَتَىٰكَ,come to you,هَلۡ,Has,3811,حَدِيثُ,(the) story,Come to you,MEDIUM,Previous word exists but is not a known preposition
3833,The Nightcomer (الطارق),1,1,وَٱلسَّمَآءِ,By the sky,,,,وَٱلطَّارِقِ,and the night comer,Sky,LOW,No previous word in verse
3849,The Nightcomer (الطارق),5,3,مِمَّ,from what,ٱلۡإِنسَٰنُ,man,3848,خُلِقَ,he is created,What,MEDIUM,Previous word exists but is not a known preposition
3868,The Nightcomer (الطارق),10,2,لَهُۥ,(is) for him,فَمَا,Then not,3867,مِن,any,(is) for him,MEDIUM,Previous word exists but is not a known preposition
3873,The Nightcomer (الطارق),11,1,وَٱلسَّمَآءِ,By the sky,,,,ذَاتِ,which,Sky,LOW,No previous word in verse
3884,The Nightcomer (الطارق),14,3,بِٱلۡهَزۡلِ,(is) for amusement,هُوَ,it,3883,,,(is) for amusement,MEDIUM,Previous word exists but is not a known preposition
3892,The Nightcomer (الطارق),17,3,أَمۡهِلۡهُمۡ,Give respite to them ,ٱلۡكَٰفِرِينَ,(to) the disbelievers,3891,رُوَيۡدَۢا,little,Give respite to them,MEDIUM,Previous word exists but is not a known preposition
3923,The Most High (الأعلى),8,2,لِلۡيُسۡرَىٰ,to the ease,وَنُيَسِّرُكَ,And We will ease you,3922,,,Ease,MEDIUM,Previous word exists but is not a known preposition
3967,The Overwhelming (الغاشية),1,2,أَتَىٰكَ,(there) come to you,هَلۡ,Has,3966,حَدِيثُ,(the) news,(there) come to you,MEDIUM,Previous word exists but is not a known preposition
3971,The Overwhelming (الغاشية),2,2,يَوۡمَئِذٍ,that Day,وُجُوهٞ,Faces,3970,خَٰشِعَةٌ,(will be) humbled,That Day,MEDIUM,Previous word exists but is not a known preposition
3978,The Overwhelming (الغاشية),5,1,تُسۡقَىٰ,They will be given to drink,,,,مِنۡ,from,They will be given to drink,LOW,No previous word in verse
3983,The Overwhelming (الغاشية),6,2,لَهُمۡ,for them,لَّيۡسَ,Not is,3982,طَعَامٌ,food,M,MEDIUM,Previous word exists but is not a known preposition
3995,The Overwhelming (الغاشية),8,2,يَوۡمَئِذٖ,that Day,وُجُوهٞ,Faces,3994,نَّاعِمَةٞ,(will be) joyful,That Day,MEDIUM,Previous word exists but is not a known preposition
3997,The Overwhelming (الغاشية),9,1,لِّسَعۡيِهَا,With their effort,,,,رَاضِيَةٞ,satisfied,Ir effort,LOW,No previous word in verse
4005,The Overwhelming (الغاشية),11,4,لَٰغِيَةٗ,vain talk,فِيهَا,therein,4004,,,Vain talk,MEDIUM,Previous word exists but is not a known preposition
4013,The Overwhelming (الغاشية),14,2,مَّوۡضُوعَةٞ,put in place,وَأَكۡوَابٞ,And cups,4012,,,Put in place,MEDIUM,Previous word exists but is not a known preposition
4052,The Overwhelming (الغاشية),25,2,إِلَيۡنَآ,to Us,إِنَّ,Indeed,4051,إِيَابَهُمۡ,(will be) their return,Us,MEDIUM,Previous word exists but is not a known preposition
4056,The Overwhelming (الغاشية),26,3,عَلَيۡنَا,upon Us,إِنَّ,indeed,4055,حِسَابَهُم,(is) their account,Upon Us,MEDIUM,Previous word exists but is not a known preposition
4058,The Dawn (الفجر),1,1,وَٱلۡفَجۡرِ,By the dawn,,,,,,Dawn,LOW,No previous word in verse
4070,The Dawn (الفجر),5,5,لِّذِي,for those,قَسَمٞ,(not) an oath,4069,حِجۡرٍ,who understand,Those,MEDIUM,Previous word exists but is not a known preposition
4077,The Dawn (الفجر),6,6,بِعَادٍ,with Aad,رَبُّكَ,your Lord,4076,,,Aad,MEDIUM,Previous word exists but is not a known preposition
4091,The Dawn (الفجر),9,5,بِٱلۡوَادِ,in the valley,ٱلصَّخۡرَ,the rocks,4090,,,Valley,MEDIUM,Previous word exists but is not a known preposition
4103,The Dawn (الفجر),13,2,عَلَيۡهِمۡ,on them,فَصَبَّ,So poured,4102,رَبُّكَ,your Lord,M,MEDIUM,Previous word exists but is not a known preposition
4116,The Dawn (الفجر),15,7,فَأَكۡرَمَهُۥ,and is generous to him,رَبُّهُۥ,his Lord,4115,وَنَعَّمَهُۥ,and favors him,And is generous to him,MEDIUM,Previous word exists but is not a known preposition
4126,The Dawn (الفجر),16,6,عَلَيۡهِ,for him,فَقَدَرَ,and restricts,4125,رِزۡقَهُۥ,his provision,Him,MEDIUM,Previous word exists but is not a known preposition
4161,The Dawn (الفجر),23,2,يَوۡمَئِذِۭ,that Day,وَجِاْيٓءَ,And is brought,4160,بِجَهَنَّمَۚ,Hell,That Day,MEDIUM,Previous word exists but is not a known preposition
4163,The Dawn (الفجر),23,4,يَوۡمَئِذٖ,That Day,بِجَهَنَّمَۚ,Hell,4162,يَتَذَكَّرُ,will remember,That Day,MEDIUM,Previous word exists but is not a known preposition
4167,The Dawn (الفجر),23,8,لَهُ,(will be) for him,وَأَنَّىٰ,but how,4166,ٱلذِّكۡرَىٰ,the remembrance,(will be) for him,MEDIUM,Previous word exists but is not a known preposition
4172,The Dawn (الفجر),24,4,لِحَيَاتِي,for my life,قَدَّمۡتُ,I had sent forth,4171,,,My life,MEDIUM,Previous word exists but is not a known preposition
4173,The Dawn (الفجر),25,1,فَيَوۡمَئِذٖ,So that Day,,,,لَّا,not,So that Day,LOW,No previous word in verse
4197,The City (البلد),1,3,بِهَٰذَا,by this,أُقۡسِمُ,I swear,4196,ٱلۡبَلَدِ,city,This,MEDIUM,Previous word exists but is not a known preposition
4200,The City (البلد),2,2,حِلُّۢ,(are) free (to dwell),وَأَنتَ,And you,4199,بِهَٰذَا,in this,(are) free (to dwell),MEDIUM,Previous word exists but is not a known preposition
4201,The City (البلد),2,3,بِهَٰذَا,in this,حِلُّۢ,(are) free (to dwell),4200,ٱلۡبَلَدِ,city,This,MEDIUM,Previous word exists but is not a known preposition
4209,The City (البلد),4,4,فِي,(to be) in,ٱلۡإِنسَٰنَ,man,4208,كَبَدٍ,hardship,(to be) in,MEDIUM,Previous word exists but is not a known preposition
4228,The City (البلد),8,3,لَّهُۥ,for him,نَجۡعَل,We made,4227,عَيۡنَيۡنِ,two eyes,Him,MEDIUM,Previous word exists but is not a known preposition
4261,The City (البلد),17,6,وَتَوَاصَوۡاْ,and enjoin (each other),ءَامَنُواْ,believe,4260,بِٱلصَّبۡرِ,to patience,And enjoin (each other),MEDIUM,Previous word exists but is not a known preposition
4262,The City (البلد),17,7,بِٱلصَّبۡرِ,to patience,وَتَوَاصَوۡاْ,and enjoin (each other),4261,وَتَوَاصَوۡاْ,and enjoin (each other),Patience,MEDIUM,Previous word exists but is not a known preposition
4263,The City (البلد),17,8,وَتَوَاصَوۡاْ,and enjoin (each other),بِٱلصَّبۡرِ,to patience,4262,بِٱلۡمَرۡحَمَةِ,to compassion,And enjoin (each other),MEDIUM,Previous word exists but is not a known preposition
4264,The City (البلد),17,9,بِٱلۡمَرۡحَمَةِ,to compassion,وَتَوَاصَوۡاْ,and enjoin (each other),4263,,,Compassion,MEDIUM,Previous word exists but is not a known preposition
4270,The City (البلد),19,3,بِـَٔايَٰتِنَا,in Our Verses,كَفَرُواْ,disbelieve,4269,هُمۡ,they,Our Verses,MEDIUM,Previous word exists but is not a known preposition
4277,The Sun (الشمس),1,1,وَٱلشَّمۡسِ,By the sun,,,,وَضُحَىٰهَا,and its brightness,Sun,LOW,No previous word in verse
4292,The Sun (الشمس),6,2,وَمَا,and by (He) Who,وَٱلۡأَرۡضِ,And the earth,4291,طَحَىٰهَا,spread it,And by (He) Who,MEDIUM,Previous word exists but is not a known preposition
4298,The Sun (الشمس),8,2,فُجُورَهَا,(to distinguish) its wickedness,فَأَلۡهَمَهَا,And He inspired it,4297,وَتَقۡوَىٰهَا,and its righteousness,(to distinguish) its wickedness,MEDIUM,Previous word exists but is not a known preposition
4310,The Sun (الشمس),11,3,بِطَغۡوَىٰهَآ,by their transgression,ثَمُودُ,Thamud,4309,,,Ir transgression,MEDIUM,Previous word exists but is not a known preposition
4315,The Sun (الشمس),13,2,لَهُمۡ,to them,فَقَالَ,But said,4314,رَسُولُ,(the) Messenger,M,MEDIUM,Previous word exists but is not a known preposition
4326,The Sun (الشمس),14,6,بِذَنۢبِهِمۡ,for their sin,رَبُّهُم,their Lord,4325,فَسَوَّىٰهَا,and leveled them,Ir sin,MEDIUM,Previous word exists but is not a known preposition
4331,The Night (الليل),1,1,وَٱلَّيۡلِ,By the night,,,,إِذَا,when,Night,LOW,No previous word in verse
4336,The Night (الليل),2,3,تَجَلَّىٰ,it shines in brightness,إِذَا,when,4335,,,It shines in brightness,MEDIUM,Previous word exists but is not a known preposition
4349,The Night (الليل),6,2,بِٱلۡحُسۡنَىٰ,in the best,وَصَدَّقَ,And believes,4348,,,Best,MEDIUM,Previous word exists but is not a known preposition
4355,The Night (الليل),8,4,وَٱسۡتَغۡنَىٰ,and considers himself free from need,بَخِلَ,withholds,4354,,,And considers himself free from need,MEDIUM,Previous word exists but is not a known preposition
4367,The Night (الليل),12,2,عَلَيۡنَا,upon Us,إِنَّ,Indeed,4366,لَلۡهُدَىٰ,(is) the guidance,Upon Us,MEDIUM,Previous word exists but is not a known preposition
4370,The Night (الليل),13,2,لَنَا,for Us,وَإِنَّ,And indeed,4369,لَلۡأٓخِرَةَ,(is) the Hereafter,Us,MEDIUM,Previous word exists but is not a known preposition
4383,The Night (الليل),17,1,وَسَيُجَنَّبُهَا,But will be removed from it,,,,ٱلۡأَتۡقَى,the righteous,But will be removed from it,LOW,No previous word in verse
4390,The Night (الليل),19,2,لِأَحَدٍ,for anyone,وَمَا,And not,4389,عِندَهُۥ,with him,Anyone,MEDIUM,Previous word exists but is not a known preposition
4391,The Night (الليل),19,3,عِندَهُۥ,with him,لِأَحَدٍ,for anyone,4390,مِن,any,Him,MEDIUM,Previous word exists but is not a known preposition
4394,The Night (الليل),19,6,تُجۡزَىٰٓ,to be recompensed,نِّعۡمَةٖ,favor,4393,,,Be recompensed,MEDIUM,Previous word exists but is not a known preposition
4402,The Morning Hours (الضحى),1,1,وَٱلضُّحَىٰ,By the morning brightness,,,,,,Morning brightness,LOW,No previous word in verse
4405,The Morning Hours (الضحى),2,3,سَجَىٰ,it covers with darkness,إِذَا,when,4404,,,It covers with darkness,MEDIUM,Previous word exists but is not a known preposition
4413,The Morning Hours (الضحى),4,3,لَّكَ,for you,خَيۡرٞ,(is) better,4412,مِنَ,than,You,MEDIUM,Previous word exists but is not a known preposition
4428,The Morning Hours (الضحى),8,2,عَآئِلٗا,in need,وَوَجَدَكَ,And He found you,4427,فَأَغۡنَىٰ,so He made self-sufficient,Need,MEDIUM,Previous word exists but is not a known preposition
4444,The Relief (الشرح),1,3,لَكَ,for you,نَشۡرَحۡ,We expanded,4443,صَدۡرَكَ,your breast,You,MEDIUM,Previous word exists but is not a known preposition
4447,The Relief (الشرح),2,2,عَنكَ,from you,وَوَضَعۡنَا,And We removed,4446,وِزۡرَكَ,your burden,You,MEDIUM,Previous word exists but is not a known preposition
4453,The Relief (الشرح),4,2,لَكَ,for you,وَرَفَعۡنَا,And We raised high,4452,ذِكۡرَكَ,your reputation,You,MEDIUM,Previous word exists but is not a known preposition
4469,The Fig (التين),1,1,وَٱلتِّينِ,By the fig,,,,وَٱلزَّيۡتُونِ,and the olive,Fig,LOW,No previous word in verse
4484,The Fig (التين),5,3,أَسۡفَلَ,(to the) lowest,رَدَدۡنَٰهُ,We returned him,4483,سَٰفِلِينَ,(of the) low,(to the) lowest,MEDIUM,Previous word exists but is not a known preposition
4491,The Fig (التين),6,6,فَلَهُمۡ,then for them,ٱلصَّـٰلِحَٰتِ,righteous deeds,4490,أَجۡرٌ,(is a) reward,Then for them,MEDIUM,Previous word exists but is not a known preposition
4496,The Fig (التين),7,2,يُكَذِّبُكَ,causes you to deny,فَمَا,Then what,4495,بَعۡدُ,after (this),Causes you to deny,MEDIUM,Previous word exists but is not a known preposition
4504,The Clot (العلق),1,2,بِٱسۡمِ,in (the) name,ٱقۡرَأۡ,Read,4503,رَبِّكَ,(of) your Lord,(the) name,MEDIUM,Previous word exists but is not a known preposition
4517,The Clot (العلق),4,3,بِٱلۡقَلَمِ,by the pen,عَلَّمَ,taught,4516,,,Pen,MEDIUM,Previous word exists but is not a known preposition
4562,The Clot (العلق),15,6,بِٱلنَّاصِيَةِ,by the forelock,لَنَسۡفَعَۢا,surely We will drag him,4561,,,Forelock,MEDIUM,Previous word exists but is not a known preposition
4574,The Clot (العلق),19,5,وَٱقۡتَرِب۩,and draw near (to Allah),وَٱسۡجُدۡۤ,But prostrate,4573,,,And draw near (to Allah),MEDIUM,Previous word exists but is not a known preposition